query,tweet,compound,neg,neu,pos
#BlackFriday,"🚨 25% OFF EVERYTHING ENDS TONIGHT🚨 https://t.co/455rYEOSA0 
_
Enjoy 25% off EVERYTHING!!! Tag a friend so they don’… https://t.co/eX4S6qxpJV",0.8061,0.0,0.751,0.249
#BlackFriday,"RT @CarolynKim_YYZ: As Canadians shop online to limit physical contact and keep businesses afloat, how cool is it that we can shop online A…",0.3182,0.0,0.909,0.091
#BlackFriday,Ouuuuuu! Twd.28 #cannabis #BlackFriday weekend sale at Miss Jones Cannabis #fortyork outpost! 👀 Offering free same… https://t.co/IKn22kY1zm,0.508,0.078,0.732,0.19
#BlackFriday,RT @trishstratuscom: You did it! Nice! Can't wait to get that out to you - hope it was worth the wait 😊 #BlackFriday,0.9214,0.0,0.608,0.392
#BlackFriday,"If your bookshelves are a little too bare, we are offering FREE SHIPPING this weekend on all online orders in Canad… https://t.co/MycU8Z3PBq",0.6166,0.0,0.839,0.161
#BlackFriday,"Boots that are loud! You can't miss these styles. Save online, now until Monday at https://t.co/jPuKiQ8ggc… https://t.co/CSlfnxLkWR",0.6041,0.0,0.752,0.248
#BlackFriday,You did it! Nice! Can't wait to get that out to you - hope it was worth the wait 😊 #BlackFriday https://t.co/YWnXDWVlAk,0.9214,0.0,0.597,0.403
#BlackFriday,RT @blogTO: 10 holiday gift ideas in Toronto for those who want to shop local https://t.co/GLLyGwtlbv #Toronto #BlackFriday #ShopLocal,0.7096,0.0,0.699,0.301
#BlackFriday,"LAST CHANCE! Get your Peppermint Scented Candle GIFT SET https://t.co/sWrZwZD5FP
ALMOST SOLD OUT! 
#Christmas… https://t.co/0hJ6thDUID",0.7876,0.0,0.652,0.348
#BlackFriday,"RT @BarrysPremium: Black Friday Blowout
Shine bright with Barry's Premium
Everything in store on sale Upto 50%

https://t.co/nyQToFp7kI
#bl…",0.4404,0.0,0.861,0.139
#BlackFriday,"Shop Now on Giftoad!

https://t.co/9QfKHw8q40

#BlackFriday #CyberMonday https://t.co/ZxmSsWZoko",0.0,0.0,1.0,0.0
#BlackFriday,"RT @BarrysPremium: Black Friday Blowout
Shine bright with Barry's Premium
Everything in store on sale Upto 50%

https://t.co/nyQToFp7kI
#bl…",0.4404,0.0,0.861,0.139
#BlackFriday,"It's a #BlackFriday #ModernHorizons Flash Sale! 
Boxes of Battlebond have been marked down to $179.95 CAD today! Gr… https://t.co/gw1kU6l8HI",0.0,0.0,1.0,0.0
#BlackFriday,"RT @LouisBusch: It's been over two years since @fordnation &amp; @MacLeodLisa froze the OAP waitlist and began dismantling autism services.

@T…",0.0,0.0,1.0,0.0
#BlackFriday,"RT @elisahategan: Today's #Covidiots are byproducts of our consumerist society, defying death for #BlackFriday deals &amp; parties with friends…",-0.296,0.165,0.72,0.114
#BlackFriday,"RT @Ticats: Our Black Friday sale is here all weekend!

Shop up to 50% our Black Friday collection.

🛒| https://t.co/yIZI6USKFU

#Ticats |…",0.0,0.0,1.0,0.0
#BlackFriday,"😍Have you checked out our new CyberHoTtie Lashes?

https://t.co/vzqRtU53ci

🖤40% off sale is still going strong!… https://t.co/AJt34uCJZE",0.5093,0.0,0.859,0.141
#BlackFriday,"Zoom ready in the front.  Party in the back.  Cage Back Dress #BlackFriday 50% off, plus extra 10% off sale on last… https://t.co/qoK1879TMH",0.6369,0.0,0.802,0.198
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,RT @NatasjaEby: Don't forget to get some #free and #discounted books through this awesome #blackfriday sale!,0.8842,0.0,0.514,0.486
